State,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1986,1984,1982,1980,1978
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,S,Dem
Indiana,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Split,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep
Iowa,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Rep,Rep
Kansas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep
Kentucky,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Louisiana,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Maine,Dem,Dem,Dem,Divided,Split,Split,Split,Dem,Dem,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,S,S
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Split,S,S,Dem,Dem,Dem
Minnesota,Divided,Divided,Divided,Rep,Rep,Split,Split,Dem,Dem,Rep,Rep,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Dem,Dem,Dem,Dem,S,S,Dem,S,S
Mississippi,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Missouri,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Montana,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Split,Split,S,S,S,Rep,Dem
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,S,S,Dem,Dem,Dem
New Hampshire,Rep,Dem,Dem,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,S
New Jersey,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Dem,S,S,Dem,Dem,Dem
New Mexico,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,S,S,Dem,Dem,Dem
New York,Dem,Dem,Dem,Divided,Dem*,Split,Split,Dem*,Dem,Split,Split,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,S,S,S,S,S
North Carolina,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
North Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,S,Rep,S,Rep,Rep
Ohio,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,S,S,Dem,S,Dem
Oklahoma,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Oregon,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem
Pennsylvania,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,S,S,S,Rep,S
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Texas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Split,Split,Split,Split,S,S,Rep,Rep,Rep
Virginia,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Washington,Dem,Dem,Dem,Dem,Dem*,Split,Split,Dem*,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Dem,Split,Dem,Dem,Dem,Rep,S
West Virginia,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Wisconsin,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Split,Rep,Rep,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep ,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
